|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
7374|Police Tactics: Imperio|--|--|--|--|40|CyberphobX|Astragon Entertainment| September 07, 2016
7375|Aetherspace|--|--|--|--|NR|Munchkin's Lair|Munchkin's Lair| July 03, 2017
7376|Astro Boy: Edge of Time|--|--|--|--|NR|Project Atom|Active Gaming Media| June 20, 2017
7377|BARBAR BAR|--|--|--|--|NR|TEDI Games, Bartoš Studio|TEDI Games| June 02, 2017
7378|BeanVR|--|--|--|--|NR|Shenzhen BeanVR Technology|Shenzhen BeanVR Technology| May 31, 2017
7379|Chroma Blast|--|--|--|--|NR|William Cheek|William Cheek| July 07, 2017
7380|FlyingRock: Arena|--|--|--|--|NR|Edo Create|Edo Create| June 19, 2017
7381|IKEA VR Pancake Kitchen|--|--|--|--|NR|IKEA Communications|IKEA Communications| May 30, 2017
7382|Immersion Chess|--|--|--|--|NR|Immersion|Immersion| May 15, 2017
7383|Naev|--|--|--|--|NR|Naev Team|Naev Team| July 17, 2017
7384|Primal Reign|--|--|--|--|NR|Immersive VR Limited|Immersive VR Limited| May 29, 2017
7385|Ripple Effect|--|--|--|--|NR|Well Played Studio|Well Played Studio| May 31, 2017
7386|RoBros|--|--|--|--|NR|Team B.R.O.S.|Team B.R.O.S.| May 20, 2017
7387|SoundLites|--|--|--|--|NR|ICON Interactive|ICON Interactive| July 16, 2017
7388|The Uncertain: VR Experience|--|--|--|--|NR|ComonGames|ComonGames| April 25, 2017
7389|TinkerQuarry|--|--|--|--|NR|Cassandra Clery|Cassandra Clery| June 12, 2017
7390|VRIQ|--|--|--|--|NR|3diq|3diq| May 03, 2017
7391|b (2017)|--|--|--|--|10|u&i;|u&i;| June 26, 2017
7392|Welcome To Heaven|--|--|--|--|NR|vextro|vextro| June 22, 2017
7393|The Mage's Tale|--|10 Hours|--|10 Hours|90|InXile Entertainment|InXile Entertainment| 2017
7394|Pictlogica Final Fantasy|41 Hours|--|--|41 Hours|NR|Jupiter|Square Enix| October 13, 2013
7395|GRUZCHIK|--|--|--|--|NR|NDPendent Games|BadDoge, NDPendent Games| March 10, 2017
7396|Transformers: Dark of the Moon - Stealth Force Edition|7½ Hours|--|--|7½ Hours|40|Behaviour Ineractive|Activision| June 14, 2011
7397|Scar of The Doll|--|--|4 Hours|4 Hours|NR|Child-Dream|Degica| April 20, 2017
7398|Active Soccer 2 DX|--|--|8 Hours|8 Hours|70|The Fox Software|Sports| 1 Month Ago
7399|Solstice Chronicles: MIA|--|--|--|--|70|Ironward|Nkidu Games| July 26, 2017
7400|Virus Z|--|--|--|--|NR|Falco Software|Falco Software| June 23, 2017
7401|Surfasaurus|--|--|--|--|NR|Red Triangle Games|Red Triangle Games| August 01, 2016
7402|Otome Romance Jigsaws - Midnight Cinderella & Destined to Love|--|8½ Hours|--|8½ Hours|90|BottleCube|BottleCube| February 27, 2017
